model,approach,acc,precision,recall,f1,auc,total_time,anomesdia_datetime
SVC,Train 5 K-folds,0.6458,0.662,0.2997,0.4093,0.7007,1.125,2021-05-09 18:52:37.700522
SVC,Validation,0.7179,0.8621,0.3846,0.5319,0.774,0.008,2021-05-09 18:52:37.700522
DecisionTreeClassifier,Train 5 K-folds,0.7147,0.6477,0.6739,0.6582,0.7103,0.074,2021-05-09 18:52:37.700522
DecisionTreeClassifier,Validation,0.7115,0.6515,0.6615,0.6565,0.7064,0.003,2021-05-09 18:52:37.700522
RandomForestClassifier,Train 5 K-folds,0.7677,0.7343,0.6857,0.7039,0.823,3.269,2021-05-09 18:52:37.700522
RandomForestClassifier,Validation,0.7885,0.7667,0.7077,0.736,0.8305,0.031,2021-05-09 18:52:37.700522
